street,Weekday_6,Weekday_7,Weekday_8,Weekday_9,Weekday_10,Weekday_11,Weekday_12,Weekday_13,Weekday_14,Weekday_15,Weekday_16,Weekday_17,Weekday_18,Weekday_19,Weekday_20,Weekend_6,Weekend_7,Weekend_8,Weekend_9,Weekend_10,Weekend_11,Weekend_12,Weekend_13,Weekend_14,Weekend_15,Weekend_16,Weekend_17,Weekend_18,Weekend_19,Weekend_20
Gerbang Tol Pasteur 2,1.4164193569349544,0.69845037478607,1.3527408994602068,1.1558740388754702,0.8410603333743372,2.0129599406800187,2.3518308901463643,1.9504830986301374,1.0571261266472454,1.6428763646206073,1.7136898032604233,0.9799695049293284,1.5229817994723418,2.500442702009286,1.7755713637808728,1.4532830207886478,1.5512695932676175,1.831520940076613,1.161078491913503,1.9251626816579748,2.542126083006791,2.661303699061895,2.9833271461645747,3.5709175951377268,2.274561380455209,1.709907241581615,2.584965722161211,1.8062302620777406,1.5673437997591317,3.380854259912283
Mahar Martanegara,-0.15328535626961845,-0.4484831003869337,0.0,-0.36727550066777204,-0.16204245045571203,0.13777016650852433,-0.10461946335909572,-0.07920865804536244,-0.21422056743999665,0.031227808480774225,0.027653565336038473,-0.11155496491215026,-0.4227856300038628,-0.06562399206177737,-0.21673010926155437,0.0,-0.17286790913158367,-0.3014817877974275,-0.5196653224655194,-0.29420544453895564,-0.42622562549296955,-0.5208467254235677,-0.32039211213176977,0.3912854102927005,0.0,-0.05177110683802376,-0.11061935513551403,-0.16691938622091082,-0.2613985231071162,-0.05279212106729149
N11 Jenderal Haji Amir Machmud,-0.43946888740644746,-0.7139713140969177,-0.4740199060207652,-0.8194990042598811,-0.5344034057837261,-0.5807076316069238,-0.5498000301837859,-0.6656661251064824,-0.6646438679748438,-0.4914262680907956,-1.02219214212573,-0.5379092303703418,-0.4564947555037363,-0.4556395830244857,-0.3928045427744064,-0.06851975337114208,-0.21573317759225472,-0.5687330203491533,-0.8012745442523185,-0.7629187875148089,-0.9356760114160637,-1.057801088963758,-0.9790600338024804,-1.1030448078261599,-0.8375362524138821,-0.8780519037140537,-0.7106280507619264,-0.6192843652556086,-0.09156360094598284,-0.15754801276123828
Jalan Gunung Batu,0.0,0.4036081516343504,0.5180558019832346,0.0015423652194582807,-0.15060899600927466,-0.008173853922935887,0.0,0.21235135029066107,0.009108679154288228,-0.11387713335954142,-0.4899534030188969,-0.5059036965814495,-0.7495351877679803,-0.3395236246186907,-0.47997082171171873,-0.7879301859473139,1.1775946538159152,0.7323871753014034,0.2261473766002144,0.20049337195917422,0.09423588561631716,0.14800286770105364,0.014723195026170373,-0.17256341268020364,-0.05160023660714027,0.0,-0.03350195899565497,-0.3134745762748171,-0.3657627575011145,-0.21485359338130997
Jenderal Gatot Subroto,0.12921900295508992,0.07197050231723336,0.4278029214789308,0.2315853824067622,1.5546219726230757,0.6589614448138397,0.08406340917496954,1.1323016131551504,0.2381473113526684,0.827539601015065,0.35155545423028745,-0.2526730916031647,0.1637344050144068,0.6500764710891792,0.2657849977132665,0.9303513364084833,0.6138611916821514,0.6366548390043258,0.4862051400767326,0.7225539635138797,0.31322817276259585,0.798610345759023,0.3077030534498477,0.5228261506675236,0.6055167449091319,0.495725470165326,-0.009947727410082407,0.2016553173244538,0.8754810950667753,-0.35915455634564525
Kerkhof,0.5764293434532688,-0.278358158476926,-0.2800610475384476,-0.4542269967959547,-0.2731468994449437,-0.10324312172486567,-0.28408081543955016,0.0,0.0004685262464297551,-0.05467148328402206,1.0692190670418222,0.5115871756195293,0.11517662222338185,0.35176976298703383,-0.23203582260963207,0.253163593160267,-0.31894236831811357,-0.18090016664939093,-0.5515199027400676,-0.2202249770476931,0.31159919957758336,0.1083512335415441,0.8390865813474102,0.02147191049154884,-0.03650295126116435,0.12849571437968027,0.6216101781711545,0.3265426947289899,0.3325105146299816,0.04327426224554002
Kolonel Masturi,-0.08656725304315344,-0.4877514196389117,-0.2796149841381323,-0.5442556873669,-0.39343806409848586,-0.36203007416851685,-0.39722608446776486,-0.22804490082634635,-0.4888239981566555,-0.32991415397078677,0.11472799243395,-0.09375295986385439,-0.3653279255370018,-0.4007411548274413,-0.5994352863795341,0.1910918840687368,-0.3409817465706588,-0.30312644401842,-0.5828005173925485,-0.4617022625308238,-0.18882374732121993,0.0,-0.28493558882284253,-0.5703619006056868,-0.4049290598290552,-0.34459359155838176,0.0,-0.20805928519318403,-0.18782300377847524,-0.3053220156800233
Melong Raya,0.8807927264784439,-0.24329234756438037,0.15630368246384038,0.3387406567943665,0.4322596879529971,1.3180491485285815,1.0580961035490635,-0.23576750361086837,0.03247269937956585,0.39998595692632555,-0.12293899561005,0.03551962060778139,-0.1636967348872279,-0.06494635264951237,0.01206007477814677,-0.7879301859473139,1.6393708799974736,1.183319755033184,0.3794744397906511,0.0,0.0,-0.13981772728849035,-0.008986787348104442,-0.5677409015047598,0.1329643290142191,-0.34175224511919566,0.1927668113190523,-0.0447801810271629,0.0,0.1641196485496771
Mintaredja SH,-0.6778395390622888,-1.0000744816286435,-0.13002097086355022,-0.32997997912463983,-0.20109742906754835,-0.4343662564082995,-0.47071433147363057,-0.5800732346384758,-0.3839022762742188,-0.5559146768874413,-0.9948279019738683,-0.6169470830685855,-0.7032852114799791,-0.10715406406153247,-0.3864252064315436,0.016347327137263563,-0.47040706473480715,-0.12051047844488899,-0.9097947759238268,-0.9663360867171489,-1.0461604622177336,-1.0889434675410576,-0.5918638130610577,-0.8355037245874284,-0.9817628974132737,-0.6443359106612324,-0.9480217965707263,-0.6516233146713233,-0.2379045897152151,-0.5411308024588509
Sangkuriang,-0.34577226061323446,-0.525083805664167,-0.47791045195902593,-0.8590322758572767,-0.6049959043823552,-0.4682867543643183,-0.4873600329449623,-0.5163481508211467,-0.625196986066599,0.017757962561291394,-0.9384585521227198,-0.7590500269302695,-0.7751885948944488,-0.30434193492923595,-0.7426980116261792,0.12737840932478559,0.08220745997700421,0.2270064066342556,-0.6227337176228284,-0.5352935362807327,-0.48253128241245535,-0.49608564897390717,-0.22886339006790923,-0.3408452666634524,-1.0750871148454069,-0.45043117948374356,-0.6129792340681927,-0.5771096663157141,-0.18808618947716052,-0.5295970993794993
